"특성별","시점",전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원)
"전체","2012",190395,77554,61162,51679,49083
"전체","2013",185960,77375,57831,50754,49045
"전체","2014",182297,75949,55678,50671,48756
"전체","2015",178346,75287,52384,50675,48713
"전체","2016",180606,77438,48102,55065,52632
"전체","2017",186703,81311,48297,57095,54810
"전체","2018",194852,85531,49972,59348,57181
"전체","2019",209970,95597,52554,61819,59384
"전체","2020",193532,76107,53943,63482,60735
"전체","2021",234158,105279,63480,65399,62637
"전체","2022",259538,119055,70832,69651,66886
"대도시","2012",91562,35353,28285,27924,26570
"대도시","2013",89716,34489,27195,28032,27102
"대도시","2014",86488,34163,25556,26770,25675
"대도시","2015",83883,33634,23797,26453,25319
"대도시","2016",84274,33884,22439,27951,26571
"대도시","2017",88957,37163,22858,28936,27806
"대도시","2018",89462,37935,23000,28527,27495
"대도시","2019",95063,41180,23639,30244,29059
"대도시","2020",90139,34561,24902,30676,29207
"대도시","2021",106222,46646,28301,31275,29796
"대도시","2022",116380,52300,31291,32789,31218
"대도시 이외","2012",98833,42200,32877,23755,22513
"대도시 이외","2013",96244,42886,30635,22722,21943
"대도시 이외","2014",95809,41786,30122,23901,23081
"대도시 이외","2015",94462,41653,28587,24222,23394
"대도시 이외","2016",96331,43555,25662,27114,26061
"대도시 이외","2017",97745,44148,25439,28159,27004
"대도시 이외","2018",105390,47597,26972,30821,29686
"대도시 이외","2019",114907,54417,28915,31575,30326
"대도시 이외","2020",103393,41546,29041,32806,31528
"대도시 이외","2021",127937,58633,35179,34124,32842
"대도시 이외","2022",143158,66755,39541,36861,35668
"과목: 일반교과 사교육","2012",155773,54642,56571,44560,43254
"과목: 일반교과 사교육","2013",148802,52813,53016,42973,41967
"과목: 일반교과 사교육","2014",143831,49920,51122,42790,41657
"과목: 일반교과 사교육","2015",138947,47950,47678,43320,42267
"과목: 일반교과 사교육","2016",135056,45484,43053,46520,45230
"과목: 일반교과 사교육","2017",135865,46956,42317,46592,45410
"과목: 일반교과 사교육","2018",142600,50326,43864,48410,47394
"과목: 일반교과 사교육","2019",154052,56545,46191,51315,50069
"과목: 일반교과 사교육","2020",153223,51176,48070,53978,52509
"과목: 일반교과 사교육","2021",179398,66977,56719,55701,54156
"과목: 일반교과 사교육","2022",195936,74849,61946,59141,57629
"과목: 예체능, 취미·교양 사교육","2012",33969,22911,4591,6467,5522
"과목: 예체능, 취미·교양 사교육","2013",36741,24563,4815,7363,6870
"과목: 예체능, 취미·교양 사교육","2014",37949,26029,4556,7365,6820
"과목: 예체능, 취미·교양 사교육","2015",38730,27337,4706,6687,6104
"과목: 예체능, 취미·교양 사교육","2016",44733,31955,5049,7729,6932
"과목: 예체능, 취미·교양 사교육","2017",49160,34238,5864,9057,8450
"과목: 예체능, 취미·교양 사교육","2018",50706,35039,5981,9686,8841
"과목: 예체능, 취미·교양 사교육","2019",54274,38814,6210,9250,8444
"과목: 예체능, 취미·교양 사교육","2020",38641,24685,5728,8228,7331
"과목: 예체능, 취미·교양 사교육","2021",53102,38089,6603,8410,7601
"과목: 예체능, 취미·교양 사교육","2022",61975,43973,8695,9307,8376
"유형: 일반교과 사교육","2012",155773,54642,56571,44560,43254
"유형: 일반교과 사교육","2013",148802,52813,53016,42973,41967
"유형: 일반교과 사교육","2014",143831,49920,51122,42790,41657
"유형: 일반교과 사교육","2015",138947,47950,47678,43320,42267
"유형: 일반교과 사교육","2016",135056,45484,43053,46520,45230
"유형: 일반교과 사교육","2017",135865,46956,42317,46592,45410
"유형: 일반교과 사교육","2018",142600,50326,43864,48410,47394
"유형: 일반교과 사교육","2019",154052,56545,46191,51315,50069
"유형: 일반교과 사교육","2020",153223,51176,48070,53978,52509
"유형: 일반교과 사교육","2021",179398,66977,56719,55701,54156
"유형: 일반교과 사교육","2022",195936,74849,61946,59141,57629
"유형: 예체능, 취미·교양 사교육","2012",33969,22911,4591,6467,5522
"유형: 예체능, 취미·교양 사교육","2013",36741,24563,4815,7363,6870
"유형: 예체능, 취미·교양 사교육","2014",37949,26029,4556,7365,6820
"유형: 예체능, 취미·교양 사교육","2015",38730,27337,4706,6687,6104
"유형: 예체능, 취미·교양 사교육","2016",44733,31955,5049,7729,6932
"유형: 예체능, 취미·교양 사교육","2017",49160,34238,5864,9057,8450
"유형: 예체능, 취미·교양 사교육","2018",50706,35039,5981,9686,8841
"유형: 예체능, 취미·교양 사교육","2019",54274,38814,6210,9250,8444
"유형: 예체능, 취미·교양 사교육","2020",38641,24685,5728,8228,7331
"유형: 예체능, 취미·교양 사교육","2021",53102,38089,6603,8410,7601
"유형: 예체능, 취미·교양 사교육","2022",61975,43973,8695,9307,8376
